Category,date,Description,Amount
Shopping,10/28/09,10/28 Apl*Itunes866-712-7753Ca ,3.96
Other Spending,10/28/09,10/28 City Parking Trafficsan Francisco Ca ,76
Groceries,10/28/09,10/28 Safewaystore Safewayssan Franciscoca ,75.11
Auto/Transportation,10/28/09,10/28 Union 7610014983Belmont Ca ,37.57
Contractors / Business Services,10/29/09,10/29 The Ups Store # 0426Belmont Ca ,41.03
Shopping,10/30/09,10/30 Amazon Mktplace Pmtsamzn.Com/Bill Wa ,5.98
Cash/ATM,10/30/09,ATM Withdrawal -10/30 1203U Market & Church (Safe San Francisco Ca 2200,40
Cash/ATM,10/30/09,ATM Withdrawal -10/30 Lk555330119 Utah St. Club Mightsan Franciscoca 2200,63
Cash/ATM,10/31/09,ATM Withdrawal -10/31 808914591200 Polk St.El Super Bsan Franciscoca 2200,63
Groceries,11/3/09,11/03 Safewaystore Safewayssan Franciscoca ,1.41
Groceries,11/3/09,11/03 Safewaystore Safewayssan Franciscoca ,42.98
Auto/Transportation,11/3/09,11/03 Union 7610028231San Carlosca ,38.3
Food/Drink,11/4/09,11/04 Baja Fresh 10278San Carlosca ,6.54
Shopping,11/4/09,11/04 Gamestop #5963 Gamestop #San Carlos Ca 22007993 121042882Da,65.54
Building Supply / Wholesale,11/4/09,11/04 Industrial Hardware Susan Carlosca ,9.6
Groceries,11/4/09,11/04 Super Sam Food/Super Sam San Franciscoca ,8.4
Mortgage / Rent,11/4/09,Rent check #350,1305
Bills/Utilities,11/4/09,Utilities/Telco-At&T Mobility,98.82
Shopping,11/5/09,11/05 Apl*Itunes866-712-7753Ca ,1.98
Food/Drink,11/5/09,11/05 Quiznos Subs #4120Belmont Ca ,7.09
Groceries,11/5/09,11/05 Super Sam Food/Super Sam San Franciscoca ,6.74
Checks Written,11/5/09,check #352,55
Airlines / Transportation,11/6/09,11/06 Nnt Bart-Civic Nnt Bart-Csan Franciscony 22004111 121042882Da,4
Other Spending,11/6/09,11/06 Vallejo Street Garage San Francisco Ca ,3
Cash/ATM,11/6/09,ATM Withdrawal -11/06 0006A 1266 Market Stsan Francisco Ca 2200,40
Bills/Utilities,11/6/09,Household-Comcast Cable Co,86
Auto/Transportation,11/7/09,11/07 Angels Auto Glass 510-357-8539Ca ,50
Bills/Utilities,11/7/09,11/07 Microsoft *Xbox Live800-469-9269Wa ,49.99
Bills/Utilities,11/7/09,11/07 Microsoft *Xbox Livebill.Ms.Net Wa ,12.5
Groceries,11/10/09,11/10 Safewaystore Safewayssan Franciscoca ,50.22
Personal Care,11/10/09,11/10 Supercuts Ca #8723Belmont Ca ,19
Food/Drink,11/10/09,11/10 The Blue Muse & Sagesan Francisco Ca ,13.63
Food/Drink,11/10/09,11/10 Totos Pizzeria Of Belmbelmont Ca ,10.65
Cash/ATM,11/10/09,ATM Withdrawal -11/10 2091E 1335 Webster Street San Francisco Ca 2200,20
Auto/Transportation,11/12/09,11/12 Angels Auto Glass 510-357-8539Ca ,50
Airlines / Transportation,11/12/09,11/12 Caltrain Tvmsan Carlosca ,8.5
Food/Drink,11/12/09,11/12 The Patio Caferedwood Cityca ,11.46
Auto/Transportation,11/13/09,11/13 Chevron 00203721San Francisco Ca ,37.72
Bills/Utilities,11/13/09,Household-Comcast Cable Co,30
Other Spending,11/14/09,11/14 L2G*Ccsf Mta Citations877-513-5465Ca ,63
Groceries,11/15/09,11/15 Grant And Green Marketsan Francisco Ca ,14.83
Auto/Transportation,11/15/09,11/15 Impark5104837275Ca ,3
Food/Drink,11/15/09,11/15 La Trappe San Francisco Ca ,33
Shopping,11/16/09,11/16 Apl*Itunes866-712-7753Ca ,4.99
Food/Drink,11/16/09,11/16 Subway Belmont Store #Belmont Ca ,5.46
Food/Drink,11/17/09,11/17 Mcdonald'S F4547San Francisco Ca ,7.88
Food/Drink,11/17/09,11/17 Starbucks Usa 00054205Redwood Cityca ,2.75
Airlines / Transportation,11/17/09,11/17 Uc Hastings Parking Gasan Francisco Ca ,225
Food/Drink,11/17/09,11/17 Una Mas Redwood Cityca ,7.64
Credit Card/Loan Payments,11/17/09,Credit-Capital One,60
Groceries,11/18/09,11/18 Nob Hill#628 Nob Hillredwood City Ca ,10.49
Checks Written,11/18/09,check #353,295
Food/Drink,11/19/09,11/19 Quiznos Subs #4120Belmont Ca ,9.26
Food/Drink,11/19/09,11/19 Starbucks Usa 00054205Redwood Cityca ,1.85
Groceries,11/19/09,11/19 Super Sam Food/Super Sam San Franciscoca ,13.68
Auto/Transportation,11/19/09,11/19 Union 7600463232Belmont Ca ,37.52
Bills/Utilities,11/19/09,Household-Comcast Cable Co,69.09
Cash/ATM,11/20/09,ATM Withdrawal -11/20 808916281500 Market Strall Star Csan Franciscoca 2200,43
Bills/Utilities,11/20/09,Household-Pacific Gas & El,19
Food/Drink,11/21/09,11/21 Swigsan Francisco Ca ,22.71
Food/Drink,11/22/09,11/22 Kiji Sushi Bar And Cuisan Francisco Ca ,30.18
Groceries,11/22/09,11/22 Safewaystore Safewayssan Franciscoca ,16.42
Groceries,11/23/09,11/23 Old County Deli Belmont Ca ,8.75
Food/Drink,11/23/09,11/23 Peets Coffee/Tea 11Q11San Francisco Ca ,1.85
Auto/Transportation,11/24/09,11/24 Chevron/Linda Schevron/Lisan Mateoca ,6.98
Food/Drink,11/24/09,11/24 Una Mas Redwood Cityca ,7.84
Auto/Transportation,11/29/09,11/29 Shell Oil 27441747303 San Francisco Ca ,36.79
Credit Card/Loan Payments,12/1/09,Credit-Capital One,170
Shopping,12/3/09,12/03 Amazon.Comamzn.Com/Bill Wa ,50.03
Groceries,12/3/09,12/03 Super Sam Food/Super Sam San Franciscoca ,7.29
Airlines / Transportation,12/3/09,12/03 Uc Hastings Parking Gasan Francisco Ca ,100
Food/Drink,12/4/09,12/04 Absinthe4155511590Ca ,48.52
Food/Drink,12/4/09,12/04 Double Decker San Francisco Ca ,12.64
Bills/Utilities,12/4/09,Utilities/Telco-At&T Mobility,98.82
Food/Drink,12/5/09,12/05 The Crepe House #2San Francisco Ca ,21.02
Credit Card/Loan Payments,12/5/09,Credit-Capital One,500
Home,12/6/09,12/06 Bedbath&Beyond#Bedbath&Besan Franciscoca ,179.55
Food/Drink,12/6/09,12/06 Peets Coffee/Tea 11Q11San Francisco Ca ,6.75
Groceries,12/6/09,12/06 Safewaystore Safewayssan Franciscoca ,40.89
Shopping,12/7/09,12/07 Apl*Itunes866-712-7753Ca ,19.99
Groceries,12/7/09,12/07 Old County Deli Belmont Ca ,8
Contractors / Business Services,12/7/09,12/07 Paypal *Cathysdeals 402-935-7733Ca ,24.8
Auto/Transportation,12/7/09,12/07 Union 7600463232Belmont Ca ,34.97
Food/Drink,12/8/09,12/08 Mini Bar Sf San Francisco Ca ,22
Cash/ATM,12/8/09,ATM Withdrawal -12/08 Cs24356 759 Columbus Avstar Ne San Franciscoca 2200,42
Shopping,12/9/09,12/09 Paypal *Buy Com 402-935-7733Ca ,8.18
Food/Drink,12/9/09,12/09 Subway Belmont Store #Belmont Ca ,7.78
Cash/ATM,12/10/09,ATM Withdrawal -12/10 Lk785092575 Ralston Avedairy Bellbelmontca 2200,62.75
Mortgage / Rent,12/10/09,Rent check #354,1350
Shopping,12/11/09,12/11 Apl*Itunes866-712-7753Ca ,2.99
Food/Drink,12/11/09,12/11 Chevys 2454 San Francisco Ca ,67.08
Food/Drink,12/11/09,12/11 Stackssan Francisco Ca ,28.84
Health,12/11/09,12/11 Walgreen Companwalgreen Csan Franciscoca ,24.06
Cash/ATM,12/12/09,ATM Withdrawal -12/12 2607Y 374 Golden Gate Ave San Francisco Ca 2200,60
Auto/Transportation,12/13/09,12/13 Chevron 00090030San Francisco Ca ,35.33
Food/Drink,12/13/09,12/13 Mcdonald'S F4547San Francisco Ca ,8.02
Groceries,12/14/09,12/14 Nob Hill#628 Nob Hillredwood City Ca ,9.77
Shopping,12/14/09,12/14 Paypal *Towerhobbie 402-935-7733Il ,25.78
Contractors / Business Services,12/14/09,12/14 Paypal *Wenzhouluch 402-935-7733Ca ,7.98
Groceries,12/14/09,12/14 Safewaystore Safewayssan Franciscoca ,52.59
Groceries,12/15/09,12/15 Old County Deli Belmont Ca ,8
Groceries,12/15/09,12/15 Safewaystore Safewayssan Franciscoca ,13.32
Food/Drink,12/16/09,12/16 Quiznos Subs #4120Belmont Ca ,9.26
Credit Card/Loan Payments,12/16/09,Credit-Capital One,60
Entertainment,12/17/09,12/17 Action Ticket 415-640-0600Ca ,200
Auto/Transportation,12/17/09,12/17 Kaiser Center Oakland Ca ,15
Food/Drink,12/17/09,12/17 Marino Restaurant San Francisco Ca ,20.95
Groceries,12/17/09,12/17 Old County Deli Belmont Ca ,8.25
Food/Drink,12/17/09,12/17 Peets Coffee/Tea 11Q11San Francisco Ca ,1.85
Groceries,12/17/09,12/17 Super Sam Food/Super Sam San Franciscoca ,13.77
Health,12/18/09,12/18 Walgreen Companwalgreen Csan Franciscoca ,7.38
Groceries,12/19/09,12/19 Super Sam Food/Super Sam San Franciscoca ,22.5
Auto/Transportation,12/19/09,12/19 Union 7642082552San Francisco Ca ,38.25
Health,12/19/09,12/19 Walgreen Companwalgreen Csan Franciscoca ,7.93
Cash/ATM,12/19/09,ATM Withdrawal -12/19 9907A 286 King Street San Francisco Ca 2200,60
Shopping,12/20/09,12/20 Apl*Itunes866-712-7753Ca ,7.99
Shopping,12/21/09,12/21 Amazon.Comamzn.Com/Bill Wa ,127.3
Contractors / Business Services,12/21/09,12/21 Fedex Kinko'S #0909 Oakland Ca ,13.58
Contractors / Business Services,12/22/09,12/22 Fedex Kinko'S #0766 Emeryvilleca ,6.66
Food/Drink,12/22/09,12/22 Mangarosa San Francisco Ca ,60.37
Groceries,12/23/09,12/23 Grant And Green Marketsan Francisco Ca ,15.31
Contractors / Business Services,12/23/09,12/23 Paypal *Crucialtech 402-935-7733Ca ,72.93
Contractors / Business Services,12/23/09,12/23 Paypal *Dealextreme 4029357733Hk ,5.84
Contractors / Business Services,12/24/09,12/24 Action Sports Int'L 800-251-4428Tx ,43.7
Groceries,12/24/09,12/24 Apple Farm Bakery San Luis Obis Ca ,48
Shopping,12/24/09,12/24 Cns Express Llccns Expressan Luis Obisca ,42.96
Home,12/24/09,12/24 Forden Ssan Luis Obis Ca ,54.32
Shopping,12/24/09,12/24 Sou Best Buy #3Sou Best Bsanluis Obispca ,304.16
Bills/Utilities,12/24/09,Household-Comcast Cable Co,96
Auto/Transportation,12/26/09,12/26 Lombards Autosounds Grover Beachca ,108.48
Shopping,12/27/09,12/27 Paypal *Barneyselec 402-935-7733Nj ,184
Auto/Transportation,12/27/09,12/27 Shell Oil 57441083201 Atascaderoca ,33.64
Groceries,12/28/09,12/28 Super Sam Food/Super Sam San Franciscoca ,11.69
Shopping,12/29/09,12/29 Amazon Mktplace Pmtsamzn.Com/Bill Wa ,7.33
Shopping,12/29/09,12/29 Amazon Mktplace Pmtsamzn.Com/Bill Wa ,12.97
Cash/ATM,12/29/09,ATM Withdrawal -12/29 80891400547 Haight Stretoronadosan Franciscoca 2200,61.95
Bills/Utilities,12/29/09,Household-Pacific Gas & El,23.87
Auto/Transportation,12/30/09,12/30 Fastrak Csc 877-2298655 Ca ,25
Entertainment,12/30/09,12/30 Jiffy Tickets 415-827-0010Ca ,125
Entertainment,12/30/09,12/30 Jiffy Tickets 415-827-0010Ca ,250
Shopping,12/31/09,12/31 Amazon Mktplace Pmtsamzn.Com/Bill Wa ,5.97
Food/Drink,12/31/09,12/31 Flippers Gourmet Brgersan Francisco Ca ,21
Food/Drink,12/31/09,12/31 People'S Cafe San Francisco Ca ,9.11
Groceries,12/31/09,12/31 Super Sam Food/Super Sam San Franciscoca ,47.01
Food/Drink,1/1/10,Round Table Pizza,48.41
Groceries,1/2/10,Bay Liquor/2077Bay Liquor1,9.84
Food/Drink,1/2/10,Stacks1,22.54
Groceries,1/2/10,Super Sam Food/Super Sam 1,9.17
Bills/Utilities,1/2/10,Utilities/Telco-At&T Mobility,99.01
Food/Drink,1/3/10,Marino Restaurant 1,23.6
Food/Drink,1/3/10,Mcdonald'S F45471,8.35
Groceries,1/4/10,Safewaystore Safeways1,36.4
Auto/Transportation,1/4/10,Union 76 10028231San Carlosca,38.13
Shopping,1/5/10,Amazon.Comamzn.Com/Bill Wa,29.69
Auto/Transportation,1/5/10,Electric Green Showroosan Carlosca,49.15
Shopping,1/5/10,Ikea East Bay,272.18
Contractors / Business Services,1/5/10,San Francisco Marathon909-874-5480Ca,447.8
Airlines / Transportation,1/5/10,West Marine012West Marinsan Carlos,185.71
Home,1/6/10,Active *Kpsfhalf,43.6
Cash/ATM,1/6/10,ATM Withdrawal - 01/06 P81240332 Goughlas Estrel1,62.25
Groceries,1/6/10,Nob Hill,9.58
Shopping,1/7/10,Amazon Mktplace Pmtsamzn.Com/Bill Wa,13.11
Mortgage / Rent,1/7/10,Rent check #355,1350
Building Supply / Wholesale,1/7/10,Sou The Home Desou The Hosan Carlos,46.92
Mortgage / Rent,1/8/10,Uc Hastings Parking Ga1,200
Auto/Transportation,1/8/10,Union 76 10032522San Carlosca,38.84
Home,1/9/10,City Lights 1,3.23
Airlines / Transportation,1/10/10,Nnt Bart-Civic Nnt Bart-Csan Franciscony,19
Groceries,1/10/10,Super Sam Food/Super Sam 1,13.69
Food/Drink,1/11/10,Chipotle1174 San Carlosca,8.19
Building Supply / Wholesale,1/11/10,Industrial Hardware Susan Carlosca,35.47
Building Supply / Wholesale,1/11/10,Sou The Home Desou The Hosan Carlos,29.74
Airlines / Transportation,1/11/10,West Marine012West Marinsan Carlos,19
Shopping,1/12/10,Amazon Mktplace Pmtsamzn.Com/Bill Wa,8.32
Building Supply / Wholesale,1/12/10,Sou The Home Desou The Hosan Carlos,5.45
Building Supply / Wholesale,1/12/10,Sou The Home Desou The Hosan Carlos,20.42
Shopping,1/13/10,Paypal *Office Lube 402-935-7733Ca,67.28
Auto/Transportation,1/13/10,Shell Oil 27441747303 1,36.56
Building Supply / Wholesale,1/13/10,Sou The Home Desou The Hosan Carlos,8.86
Shopping,1/14/10,Apl*Itunes,2.99
Food/Drink,1/14/10,Patxi'S Chicago Pizza 1,29.2
Cash/ATM,1/15/10,ATM Withdrawal - 01/150006A1266 Market St1,40
Building Supply / Wholesale,1/15/10,Sou The Home Desou The Hoemeryville,32.78
Groceries,1/15/10,Super Sam Food/Super Sam 1,11.69
Groceries,1/16/10,Citizen Cake1,62.8
Credit Card/Loan Payments,1/16/10,Credit-Capital One,60
Shopping,1/16/10,Paypal *Astraweb4029357733Sg,10
Food/Drink,1/18/10,5 Romolo-Basque Hotel1,98
Groceries,1/18/10,Safewaystore Safeways1,33.66
Shopping,1/19/10,Amazon Mktplace Pmtsamzn.Com/Bill Wa,2.99
Shopping,1/19/10,Apl*Itunes,0.99
Shopping,1/19/10,Paypal *Princessjac 402-935-7733Ca,11.84
Home,1/20/10,Amazon Prime,79
Auto/Transportation,1/20/10,Car Service Oakland,39.89
Food/Drink,1/20/10,Old County Deli Belmont,8
Groceries,1/21/10,Nob Hill,9.01
Bills/Utilities,1/22/10,Household-Pacific Gas & El,23.73
Groceries,1/22/10,Safewaystore Safeways1,9.62
Food/Drink,1/23/10,The Republic1,26.69
Cash/ATM,1/24/10,ATM Withdrawal - 01/24 Cs24356 759 Columbus Avstar Ne 1,62
Groceries,1/24/10,Safewaystore Safeways1,27.35
Auto/Transportation,1/25/10,Union 76 00363226Hayward,35.84
Auto/Transportation,1/26/10,Fastrak Csc,25
Food/Drink,1/27/10,Subway00047761Belmont,7.78
Food/Drink,1/28/10,Chevys 2454 1,39.5
Contractors / Business Services,1/28/10,Cresco Equipment Rentaoakland,400
Food/Drink,1/28/10,Don Pisto'S San Fransicoca,29.09
Groceries,1/28/10,Super Sam Food/Super Sam 1,14.22
Checks Written,1/29/10,check #356,63
Bills/Utilities,1/29/10,Dri*Microsoftstudentorderfind.Com Mn,64.95
Food/Drink,1/29/10,Memphis Minnies 1,26.06
Bills/Utilities,1/29/10,Microsoft *Xbox Livebill.Ms.Net Wa,6.25
Bills/Utilities,1/29/10,Microsoft *Xbox Livebill.Ms.Net Wa,25
Groceries,1/29/10,Super Sam Food1,10.94
Food/Drink,1/30/10,Double Decker 1,8.97
Food/Drink,1/31/10,Round Table Pizza,20.41
Food/Drink,2/1/10,Quiznos Subs,9.26
Groceries,2/1/10,Safewaystore Safewaysbelmontca,17.65
Groceries,2/1/10,Super Sam Food/Super Sam 1,11.73
Personal Care,2/1/10,Supercuts,18
Auto/Transportation,2/1/10,Union 76 00463232Belmont,37.61
Bills/Utilities,2/2/10,Comcast California800-Comcast,95.3
Postage / Delivery,2/2/10,Fedex Kinko'S,40.3
Contractors / Business Services,2/2/10,Mailbox 4U1,5.5
Groceries,2/3/10,Safewaystore Safeways1,50.78
Office Supplies/Furniture,2/4/10,Mwave.Com/Crossrider909-839-7600Ca,371.43
Mortgage / Rent,2/4/10,Uc Hastings Parking Ga1,200
Bills/Utilities,2/4/10,Utilities/Telco-At&T Mobility,99.03
Groceries,2/6/10,Safewaystore Safeways1,114.99
Mortgage / Rent,2/8/10,Rent check #357,1350
Food/Drink,2/8/10,Sushi Monster Belmont,29.47
Shopping,2/9/10,Apl*Itunes,11.95
Food/Drink,2/9/10,Peets Coffee/Tea11Q111,1.85
Groceries,2/9/10,Safewaystore Safeways1,27.47
Auto/Transportation,2/9/10,Union 76 10028231San Carlosca,36.93
Cash/ATM,2/10/10,ATM Withdrawal - 02/100158A1045 Ralston Avebelmont,20
Shopping,2/11/10,Paypal *1800Flowers 402-935-7733Ny,60.21
Food/Drink,2/11/10,Una Mas Redwood Cityca,7.64
Food/Drink,2/13/10,Cafe Divine 1,19.17
Auto/Transportation,2/13/10,Fastrak Csc,25
Food/Drink,2/13/10,Swig1,63.48
Groceries,2/14/10,Arguello Supermarguello S1,25.85
Food/Drink,2/14/10,Lers Ros Thai Nood1,30.05
Auto/Transportation,2/14/10,Shell Oil 27441747303 1,34.39
Food/Drink,2/15/10,Old County Deli Belmont,8.75
Food/Drink,2/15/10,Starbucks Usa00057802Oakland,1.85
Contractors / Business Services,2/16/10,Hostrocket.Com518-3713421 Ny,40
Food/Drink,2/16/10,Una Mas Redwood Cityca,7.84
Credit Card/Loan Payments,2/17/10,Credit-Capital One,60
Food/Drink,2/17/10,Gordo Taqueria - C1,6.62
Food/Drink,2/17/10,King Chaun Restaurant San Carlosca,8.14
Auto/Transportation,2/17/10,Union 76 100325711,35.17
Shopping,2/18/10,Apl*Itunes,2.99
Food/Drink,2/18/10,Old County Deli Belmont,5
Groceries,2/18/10,Safewaystore Safeways1,76.18
Shopping,2/19/10,Amazon Mktplace Pmtsamzn.Com/Bill Wa,4.41
Groceries,2/19/10,Super Sam Food/Super Sam 1,17.31
Food/Drink,2/20/10,5 Romolo-Basque Hotel1,60
Food/Drink,2/20/10,Flippers Gourmet Brger1,18.16
Food/Drink,2/21/10,Stacks1,23.11
Groceries,2/21/10,Super Sam Food/Super Sam 1,4.25
Auto/Transportation,2/22/10,City Of San Francisco 1,6
Building Supply / Wholesale,2/22/10,Ginn Wall Co1,9.86
Groceries,2/22/10,Super Sam Food/Super Sam 1,8.7
Food/Drink,2/22/10,Yeah Restaurantredwood,7.6
Payments Made Electronically,2/23/10,Franchise Tax Bo Payments10022316521521 Pm Lawrence,97
Bills/Utilities,2/23/10,Household-Pacific Gas & El,25.23
Food/Drink,2/23/10,Subway00047761Belmont,7.85
Groceries,2/24/10,Nob Hill,4.91
Auto/Transportation,2/24/10,Shell Oil 27441747303 1,36.84
Groceries,2/24/10,Super Sam Food/Super Sam 1,24.64
Auto/Transportation,2/25/10,Cameron Park 76Cameron Pashingle Sprca,46.14
Auto/Transportation,2/25/10,Chevron00090998Fairfield,20.42
Food/Drink,2/25/10,Chipotle1174 San Carlosca,6.66
Food/Drink,2/25/10,In-N-Out Burger Fairfield,6.64
Building Supply / Wholesale,2/25/10,The Home Depot The Home Dsan Carlos,41.66
Auto/Transportation,2/26/10,Fastrak Csc,25
Auto/Transportation,2/28/10,Chevron00090315Placerville,35.88
Food/Drink,2/28/10,Patxi'S Chicago Pizza 1,30.65
Auto/Transportation,3/1/10,City Of San Francisco 1,3
Bills/Utilities,3/2/10,Comcast California800-Comcast,96.03
Credit Card/Loan Payments,3/2/10,Credit-Capital One,129.76
Food/Drink,3/2/10,Old County Deli Belmont,8.75
Groceries,3/3/10,Nob Hill,6.56
Groceries,3/3/10,Super Sam Food/Super Sam 1,8.73
Cash/ATM,3/4/10,ATM Withdrawal - 03/04 808918201202 Sutter Strslider Din1,62.5
Food/Drink,3/4/10,Old County Deli Belmont,7.5
Auto/Transportation,3/4/10,Shell Oil 27441747303 1,36.22
Bills/Utilities,3/4/10,Utilities/Telco-At&T Mobility,99.03
Cash/ATM,3/5/10,ATM Withdrawal - 03/05 Tx30376 46 Minna Ststar Ne 1,63.5
Mortgage / Rent,3/5/10,Uc Hastings Parking Ga1,200
Food/Drink,3/6/10,Sebo Sushi415-864-2122Ca,49.61
Groceries,3/7/10,Safewaystore Safeways1,69.18
Groceries,3/7/10,Super Sam Food Super Sam San Fransiscoca,13.99
Food/Drink,3/8/10,Quiznos Subs,9.26
Mortgage / Rent,3/8/10,Rent check #358,1350
Food/Drink,3/8/10,The Patio Caferedwood Cityca,4.5
Food/Drink,3/9/10,Old County Deli Belmont,8.25
Entertainment,3/9/10,Tm *Ticketmaster Tickt415-421-8497Ca,72.15
Food/Drink,3/10/10,Double Decker 1,9.74
Auto/Transportation,3/10/10,Shell Service Sshell Serv1,0.9
Food/Drink,3/10/10,Una Mas Redwood Cityca,9.37
Groceries,3/11/10,Nob Hill,11.37
Food/Drink,3/11/10,Round Table Pizza #525,21.65
Groceries,3/11/10,Super Sam Food Super Sam San Fransiscoca,11.69
Cash/ATM,3/12/10,ATM Withdrawal - 03/12 P5751534 7Th Streetmr Smith-51,62.95
Credit Card/Loan Payments,3/13/10,Credit-Capital One,60
Food/Drink,3/13/10,Mr. Smith 1,13
Food/Drink,3/13/10,Mr. Smith 1,67
Auto/Transportation,3/16/10,Fastrak Csc,25
Groceries,3/16/10,Super Sam Food Super Sam San Fransiscoca,4.75
Food/Drink,3/16/10,The Patio Caferedwood Cityca,10.11
Cash/ATM,3/17/10,ATM Withdrawal - 03/170008C 468 Columbus Ave1,60
Food/Drink,3/17/10,Classic Us101 Burgersbelmont,6.76
Auto/Transportation,3/17/10,Shell Oil 27441747303 1,39.12
Food/Drink,3/18/10,Marino Restaurant 1,15.23
Groceries,3/18/10,Super Sam Foodsan Fransisco,12.98
Food/Drink,3/19/10,Flippers Gourmet Brger1,18.06
Shopping,3/20/10,Apl*Itunes,0.99
Airlines / Transportation,3/20/10,National Cab Co-Taxi1,10.95
Groceries,3/20/10,Super Sam Food Super Sam San Fransiscoca,9.73
Food/Drink,3/20/10,The Grove Chestnut1,28.84
Shopping,3/20/10,The Sports Basethe Sports1,100.74
Food/Drink,3/21/10,The Independent 1,17
Food/Drink,3/21/10,The Independent 1,23
Food/Drink,3/22/10,Peets Coffee/Tea11Q111,4.1
Food/Drink,3/22/10,Pluto'S1 Marina Q231,21.35
Other Spending,3/22/10,St Of Calif Dmv-Intern916-6578943,170
Food/Drink,3/22/10,Subway00047761Belmont,7.85
Personal Care,3/22/10,Supercuts,18
Food/Drink,3/23/10,Old County Deli Belmont,7.25
Food/Drink,3/23/10,Peets Coffee/Tea11Q111,8.2
Groceries,3/23/10,Safewaystore Safeways1,54.26
Auto/Transportation,3/23/10,Union 76 10028231San Carlosca,38.11
Airlines / Transportation,3/23/10,West Marine012West Marinsan Carlos,7.64
Building Supply / Wholesale,3/24/10,Industrial Hardware Susan Carlosca,44.85
Shopping,3/24/10,Kmartkmart Redwood City,21.83
Food/Drink,3/24/10,Old County Deli Belmont,8.25
Food/Drink,3/25/10,Classic Us101 Burgersbelmont,6.76
Bills/Utilities,3/25/10,Household-Pacific Gas & El,21.89
Food/Drink,3/25/10,Patxi'S Chicago Pizza 1,58.18
Other Spending,3/25/10,Sn Mateo Cnty Sprior C650-5991686,281.03
Airlines / Transportation,3/25/10,West Marine012West Marinsan Carlos,3.27
Checks Written,3/26/10,check #359,360
Bills/Utilities,3/26/10,Comcast California800-Comcast,96.03
Food/Drink,3/26/10,Place Pigalle San Fransicoca,13
Entertainment,3/27/10,Mangarosa 1,45
Food/Drink,3/27/10,Pork Store Cafe 1,20.33
Health,3/27/10,Walgreen Companwalgreen C1,4.87
Auto/Transportation,3/28/10,Shell Oil 57444216006 1,37.88
Groceries,3/28/10,Super Sam Food Super Sam San Fransiscoca,29.11
Food/Drink,3/29/10,Amoura Sfo1,16.5
Airlines / Transportation,3/29/10,Bart-Civic Centbart-Civicsan Franciscony,9
Shopping,3/29/10,Pacific Gateway News A1,10.02
Groceries,3/29/10,Super Mercado Plaza Cabo San Lucmx,44.86
Cash/ATM,3/31/10,"ATM Withdrawal - 03/31 I03931H S B C /H S B C Los Cabos, B.Mx",205
Groceries,4/1/10,Super Aquacabo San Luca Mx,2.04
Groceries,4/1/10,Super Aquacabo San Luca Mx,3.27
Food/Drink,4/2/10,Cabo Wabo Cabo San Luca Mx,28.48
Food/Drink,4/5/10,Hot Marina Fiesta,116.58
Food/Drink,4/5/10,Snack Bar Mexico Df Mx,19.27
Food/Drink,4/6/10,Wok Shop Cafe Inc 1,22.2
Airlines / Transportation,4/6/10,Yellow Cab Of San Fran1,41
Shopping,4/7/10,Apl*Itunes,0.99
Food/Drink,4/7/10,Old County Deli Belmont,8.25
Food/Drink,4/7/10,Peets Coffee/Tea11Q111,4.1
Food/Drink,4/7/10,Pluto'S Sf Sunset 1,14.29
Mortgage / Rent,4/7/10,Uc Hastings Parking Ga1,200
Food/Drink,4/8/10,Classic Us101 Burgersbelmont,8.78
Mortgage / Rent,4/8/10,Rent check #360,1350
Groceries,4/8/10,Safewaystore Safeways1,74.67
Bills/Utilities,4/9/10,Utilities/Telco-At&T Mobility,99.03
Food/Drink,4/10/10,Abbey Tavern1,33
Food/Drink,4/10/10,California Pizza148San Franciscca,46.31
Cash/ATM,4/11/10,ATM Withdrawal - 04/11 2607Z 374 Golden Gate Ave 1,40
Credit Card/Loan Payments,4/13/10,Credit-Capital One,60
Food/Drink,4/13/10,Old County Deli Belmont,8
Auto/Transportation,4/13/10,Union 76 10028231San Carlosca,37.18
Food/Drink,4/14/10,King Chaun Restaurant San Carlosca,9.65
Groceries,4/14/10,Safewaystore Safeways1,25.7
Checks Written,4/15/10,check #361,70
Bills/Utilities,4/15/10,Phone/Internet-At&T Mobility,173
Bills/Utilities,4/15/10,Phone/Internet-Comcast Cable Communications -16-Digit Account Numbers,126.32
Groceries,4/15/10,Super Sam Food Super Sam San Fransiscoca,10.94
Shopping,4/16/10,Best Buy,93.04
Food/Drink,4/16/10,Kebabs Of Hayes Valley1,25.34
Groceries,4/16/10,Super Sam Food Super Sam San Fransiscoca,2.44
Food/Drink,4/17/10,Round Table Pizza #525,37.64
Groceries,4/17/10,Super Sam Food Super Sam San Fransiscoca,11.69
Groceries,4/17/10,Super Sam Food Super Sam San Fransiscoca,15.32
Food/Drink,4/18/10,Mcdonald'S F22995 1,9.25
Groceries,4/19/10,Nob Hill,9.08
Groceries,4/19/10,Safewaystore Safeways1,50.03
Auto/Transportation,4/20/10,Union 76 00463232Belmont,38.02
Cash/ATM,4/21/10,ATM Withdrawal - 04/210276A 302716Th St1,60
Food/Drink,4/21/10,Classic Us101 Burgersbelmont,6.76
Bills/Utilities,4/22/10,Microsoft *Xbox Livebill.Ms.Net Wa,19.99
Airlines / Transportation,4/23/10,Bart-19Th Streebart-19Th Oaklandny,3
